scenario,description,category,generated_video_name
0013_perspective-left_take-1_trimmed-ball-in-basket.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The black plastic crate sits on a wooden table. The orange inflatable basketball is released over the black plastic crate.,Solid Mechanics,0013_perspective-left_trimmed-ball-in-basket.mp4
0014_perspective-center_take-1_trimmed-ball-in-basket.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The black plastic crate sits on a wooden table. The orange inflatable basketball is released over the black plastic crate.,Solid Mechanics,0014_perspective-center_trimmed-ball-in-basket.mp4
0015_perspective-right_take-1_trimmed-ball-in-basket.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The black plastic crate sits on a wooden table. The orange inflatable basketball is released over the black plastic crate.,Solid Mechanics,0015_perspective-right_trimmed-ball-in-basket.mp4
0016_perspective-left_take-1_trimmed-ball-in-sand.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The green kinetic sand is located on a wooden table, and the blue-black grabber tool is suspended over it. The blue-black grabber tool releases the blue tennis ball above a pile of green kinetic sand.",Solid Mechanics,0016_perspective-left_trimmed-ball-in-sand.mp4
0017_perspective-center_take-1_trimmed-ball-in-sand.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The green kinetic sand is located on a wooden table, and the blue-black grabber tool is suspended over it. The blue-black grabber tool releases the blue tennis ball above a pile of green kinetic sand.",Solid Mechanics,0017_perspective-center_trimmed-ball-in-sand.mp4
0018_perspective-right_take-1_trimmed-ball-in-sand.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The green kinetic sand is located on a wooden table, and the blue-black grabber tool is suspended over it. The blue-black grabber tool releases the blue tennis ball above a pile of green kinetic sand.",Solid Mechanics,0018_perspective-right_trimmed-ball-in-sand.mp4
0019_perspective-left_take-1_trimmed-ball-ramp.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A simple ramp made of cardboard, propped up by a blue block on a light-colored wooden table. There's a black pipe to the left of the frame that directly points towards it. The yellow tennis ball rolls straight out of the black pipe onto the ramp.",Solid Mechanics,0019_perspective-left_trimmed-ball-ramp.mp4
0020_perspective-center_take-1_trimmed-ball-ramp.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A simple ramp made of cardboard, propped up by a blue block on a light-colored wooden table. There's a black pipe to the left of the frame that directly points towards it. The yellow tennis ball rolls straight out of the black pipe onto the ramp.",Solid Mechanics,0020_perspective-center_trimmed-ball-ramp.mp4
0021_perspective-right_take-1_trimmed-ball-ramp.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A simple ramp made of cardboard, propped up by a blue block on a light-colored wooden table. There's a black pipe to the left of the frame that directly points towards it. The yellow tennis ball rolls straight out of the black pipe onto the ramp.",Solid Mechanics,0021_perspective-right_trimmed-ball-ramp.mp4
0022_perspective-left_take-1_trimmed-ball-rolls-off.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light wood coffee table in the foreground with a black pipe on the left end of the table. The grey tennis ball rolls out of the pipe over the entire table towards the right.,Solid Mechanics,0022_perspective-left_trimmed-ball-rolls-off.mp4
0023_perspective-center_take-1_trimmed-ball-rolls-off.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light wood coffee table in the foreground with a black pipe on the left end of the table. The grey tennis ball rolls out of the pipe over the entire table towards the right.,Solid Mechanics,0023_perspective-center_trimmed-ball-rolls-off.mp4
0024_perspective-right_take-1_trimmed-ball-rolls-off.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light wood coffee table in the foreground with a black pipe on the left end of the table. The grey tennis ball rolls out of the pipe over the entire table towards the right.,Solid Mechanics,0024_perspective-right_trimmed-ball-rolls-off.mp4
0025_perspective-left_take-1_trimmed-ball-rolls-on-glass.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A piece of clear glass resting on the edge of a light-colored wooden table against a plain white wall. The blue tennis ball rolls from the wooden table over the glass.,Solid Mechanics,0025_perspective-left_trimmed-ball-rolls-on-glass.mp4
0026_perspective-center_take-1_trimmed-ball-rolls-on-glass.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A piece of clear glass resting on the edge of a light-colored wooden table against a plain white wall. The blue tennis ball rolls from the wooden table over the glass.,Solid Mechanics,0026_perspective-center_trimmed-ball-rolls-on-glass.mp4
0027_perspective-right_take-1_trimmed-ball-rolls-on-glass.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A piece of clear glass resting on the edge of a light-colored wooden table against a plain white wall. The blue tennis ball rolls from the wooden table over the glass.,Solid Mechanics,0027_perspective-right_trimmed-ball-rolls-on-glass.mp4
0028_perspective-left_take-1_trimmed-ball-train.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light-colored coffee table with two tennis balls, one orange and one brown, placed near the center, back to back. A black pipe sits on the table on the left side and points towards the two tennis balls. The grey tennis ball rolls straight out of a black pipe from the left and hits the brown tennis ball.",Solid Mechanics,0028_perspective-left_trimmed-ball-train.mp4
0029_perspective-center_take-1_trimmed-ball-train.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light-colored coffee table with two tennis balls, one orange and one brown, placed near the center, back to back. A black pipe sits on the table on the left side and points towards the two tennis balls. The grey tennis ball rolls straight out of a black pipe from the left and hits the brown tennis ball.",Solid Mechanics,0029_perspective-center_trimmed-ball-train.mp4
0030_perspective-right_take-1_trimmed-ball-train.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light-colored coffee table with two tennis balls, one orange and one brown, placed near the center, back to back. A black pipe sits on the table on the left side and points towards the two tennis balls. The grey tennis ball rolls straight out of a black pipe from the left and hits the brown tennis ball.",Solid Mechanics,0030_perspective-right_trimmed-ball-train.mp4
0031_perspective-left_take-1_trimmed-balls-collide.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light-colored wooden tabletop with two pipes at the edges. The blue and the yellow tennis ball roll out of the pipes and collide with the same speed.,Solid Mechanics,0031_perspective-left_trimmed-balls-collide.mp4
0032_perspective-center_take-1_trimmed-balls-collide.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light-colored wooden tabletop with two pipes at the edges. The blue and the yellow tennis ball roll out of the pipes and collide with the same speed.,Solid Mechanics,0032_perspective-center_trimmed-balls-collide.mp4
0033_perspective-right_take-1_trimmed-balls-collide.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light-colored wooden tabletop with two pipes at the edges. The blue and the yellow tennis ball roll out of the pipes and collide with the same speed.,Solid Mechanics,0033_perspective-right_trimmed-balls-collide.mp4
0034_perspective-left_take-1_trimmed-block-domino.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A row of colorful wooden blocks has been lined up on a wooden table next to a black platform. The wooden stick attached to the black platform rotates clockwise and hits the first block.,Solid Mechanics,0034_perspective-left_trimmed-block-domino.mp4
0035_perspective-center_take-1_trimmed-block-domino.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A row of colorful wooden blocks has been lined up on a wooden table next to a black platform. The wooden stick attached to the black platform rotates clockwise and hits the first block.,Solid Mechanics,0035_perspective-center_trimmed-block-domino.mp4
0036_perspective-right_take-1_trimmed-block-domino.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A row of colorful wooden blocks has been lined up on a wooden table next to a black platform. The wooden stick attached to the black platform rotates clockwise and hits the first block.,Solid Mechanics,0036_perspective-right_trimmed-block-domino.mp4
0040_perspective-left_take-1_trimmed-cut-orange.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. One half of a tangerine has been placed on a glass cutting board. The knife slices through the tangerine.,Solid Mechanics,0040_perspective-left_trimmed-cut-orange.mp4
0041_perspective-center_take-1_trimmed-cut-orange.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. One half of a tangerine has been placed on a glass cutting board. The knife slices through the tangerine.,Solid Mechanics,0041_perspective-center_trimmed-cut-orange.mp4
0042_perspective-right_take-1_trimmed-cut-orange.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. One half of a tangerine has been placed on a glass cutting board. The knife slices through the tangerine.,Solid Mechanics,0042_perspective-right_trimmed-cut-orange.mp4
0043_perspective-left_take-1_trimmed-cut-paper.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. Two blue-black grabber tools pull the piece of green paper from opposite corners, causing it to tear.",Solid Mechanics,0043_perspective-left_trimmed-cut-paper.mp4
0044_perspective-center_take-1_trimmed-cut-paper.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. Two blue-black grabber tools pull the piece of green paper from opposite corners, causing it to tear.",Solid Mechanics,0044_perspective-center_trimmed-cut-paper.mp4
0045_perspective-right_take-1_trimmed-cut-paper.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. Two blue-black grabber tools pull the piece of green paper from opposite corners, causing it to tear.",Solid Mechanics,0045_perspective-right_trimmed-cut-paper.mp4
0049_perspective-left_take-1_trimmed-dominos-with-space.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. Two rows of alternating black and white dominoes have been set up on a wooden table with a gap between the two rows. The wooden stick attached to the black platform rotates clockwise and knocks the first domino.,Solid Mechanics,0049_perspective-left_trimmed-dominos-with-space.mp4
0050_perspective-center_take-1_trimmed-dominos-with-space.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. Two rows of alternating black and white dominoes have been set up on a wooden table with a gap between the two rows. The wooden stick attached to the black platform rotates clockwise and knocks the first domino.,Solid Mechanics,0050_perspective-center_trimmed-dominos-with-space.mp4
0051_perspective-right_take-1_trimmed-dominos-with-space.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. Two rows of alternating black and white dominoes have been set up on a wooden table with a gap between the two rows. The wooden stick attached to the black platform rotates clockwise and knocks the first domino.,Solid Mechanics,0051_perspective-right_trimmed-dominos-with-space.mp4
0052_perspective-left_take-1_trimmed-double-cradle.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The blue-black grabber tool was holding two metal balls at the position of the amplitude of the Newton's cradle. The Newton's cradle with five metal balls is sitting on a table. Two metal balls of the Newton's cradle device are released by the blue-black grabber tool.,Solid Mechanics,0052_perspective-left_trimmed-double-cradle.mp4
0053_perspective-center_take-1_trimmed-double-cradle.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The blue-black grabber tool was holding two metal balls at the position of the amplitude of the Newton's cradle. The Newton's cradle with five metal balls is sitting on a table. Two metal balls of the Newton's cradle device are released by the blue-black grabber tool.,Solid Mechanics,0053_perspective-center_trimmed-double-cradle.mp4
0054_perspective-right_take-1_trimmed-double-cradle.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The blue-black grabber tool was holding two metal balls at the position of the amplitude of the Newton's cradle. The Newton's cradle with five metal balls is sitting on a table. Two metal balls of the Newton's cradle device are released by the blue-black grabber tool.,Solid Mechanics,0054_perspective-right_trimmed-double-cradle.mp4
0055_perspective-left_take-1_trimmed-duck-and-dominos.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A yellow rubber duck has been positioned in the middle of a line of black and white dominoes on a wooden table. The wooden stick attached to the black platform rotates clockwise and knocks the first domino block.,Solid Mechanics,0055_perspective-left_trimmed-duck-and-dominos.mp4
0056_perspective-center_take-1_trimmed-duck-and-dominos.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A yellow rubber duck has been positioned in the middle of a line of black and white dominoes on a wooden table. The wooden stick attached to the black platform rotates clockwise and knocks the first domino block.,Solid Mechanics,0056_perspective-center_trimmed-duck-and-dominos.mp4
0057_perspective-right_take-1_trimmed-duck-and-dominos.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A yellow rubber duck has been positioned in the middle of a line of black and white dominoes on a wooden table. The wooden stick attached to the black platform rotates clockwise and knocks the first domino block.,Solid Mechanics,0057_perspective-right_trimmed-duck-and-dominos.mp4
0058_perspective-left_take-1_trimmed-duck-falls-in-box.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. An orange-black grabber tool is suspended above the open dark green fabric box on a wooden table. The orange-black grabber tool releases the yellow rubber duck above the open dark green fabric box.,Solid Mechanics,0058_perspective-left_trimmed-duck-falls-in-box.mp4
0059_perspective-center_take-1_trimmed-duck-falls-in-box.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. An orange-black grabber tool is suspended above the open dark green fabric box on a wooden table. The orange-black grabber tool releases the yellow rubber duck above the open dark green fabric box.,Solid Mechanics,0059_perspective-center_trimmed-duck-falls-in-box.mp4
0060_perspective-right_take-1_trimmed-duck-falls-in-box.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. An orange-black grabber tool is suspended above the open dark green fabric box on a wooden table. The orange-black grabber tool releases the yellow rubber duck above the open dark green fabric box.,Solid Mechanics,0060_perspective-right_trimmed-duck-falls-in-box.mp4
0061_perspective-left_take-1_trimmed-duck-static.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. Behind the wooden table is a plain white background. The yellow rubber duck sits stationary on a light brown wooden table.,Solid Mechanics,0061_perspective-left_trimmed-duck-static.mp4
0062_perspective-center_take-1_trimmed-duck-static.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. Behind the wooden table is a plain white background. The yellow rubber duck sits stationary on a light brown wooden table.,Solid Mechanics,0062_perspective-center_trimmed-duck-static.mp4
0063_perspective-right_take-1_trimmed-duck-static.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. Behind the wooden table is a plain white background. The yellow rubber duck sits stationary on a light brown wooden table.,Solid Mechanics,0063_perspective-right_trimmed-duck-static.mp4
0097_perspective-left_take-1_trimmed-magnet-transparent-peakaboo.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The clear acrylic box was suspended over the tennis ball with a smiley face. The tennis ball with the smiley is positioned on a wooden table. The clear acrylic box hanging from an orange cord lowers to cover the tennis ball with a smiley face.,Solid Mechanics,0097_perspective-left_trimmed-magnet-transparent-peakaboo.mp4
0098_perspective-center_take-1_trimmed-magnet-transparent-peakaboo.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The clear acrylic box was suspended over the tennis ball with a smiley face. The tennis ball with the smiley is positioned on a wooden table. The clear acrylic box hanging from an orange cord lowers to cover the tennis ball with a smiley face.,Solid Mechanics,0098_perspective-center_trimmed-magnet-transparent-peakaboo.mp4
0099_perspective-right_take-1_trimmed-magnet-transparent-peakaboo.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The clear acrylic box was suspended over the tennis ball with a smiley face. The tennis ball with the smiley is positioned on a wooden table. The clear acrylic box hanging from an orange cord lowers to cover the tennis ball with a smiley face.,Solid Mechanics,0099_perspective-right_trimmed-magnet-transparent-peakaboo.mp4
0103_perspective-left_take-1_trimmed-marble-run-x.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The magnetic ramps are attached to a whiteboard for a game of marble run. The yellow glass marble is released at the top of the ramps and then slides down the magnetic ramps.,Solid Mechanics,0103_perspective-left_trimmed-marble-run-x.mp4
0104_perspective-center_take-1_trimmed-marble-run-x.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The magnetic ramps are attached to a whiteboard for a game of marble run. The yellow glass marble is released at the top of the ramps and then slides down the magnetic ramps.,Solid Mechanics,0104_perspective-center_trimmed-marble-run-x.mp4
0105_perspective-right_take-1_trimmed-marble-run-x.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The magnetic ramps are attached to a whiteboard for a game of marble run. The yellow glass marble is released at the top of the ramps and then slides down the magnetic ramps.,Solid Mechanics,0105_perspective-right_trimmed-marble-run-x.mp4
0106_perspective-left_take-1_trimmed-marble-run-y.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The magnetic ramps are attached to a whiteboard for a game of marble run. The yellow glass marble is released at the top of the ramps and then slides down the magnetic ramps.,Solid Mechanics,0106_perspective-left_trimmed-marble-run-y.mp4
0107_perspective-center_take-1_trimmed-marble-run-y.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The magnetic ramps are attached to a whiteboard for a game of marble run. The yellow glass marble is released at the top of the ramps and then slides down the magnetic ramps.,Solid Mechanics,0107_perspective-center_trimmed-marble-run-y.mp4
0108_perspective-right_take-1_trimmed-marble-run-y.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The magnetic ramps are attached to a whiteboard for a game of marble run. The yellow glass marble is released at the top of the ramps and then slides down the magnetic ramps.,Solid Mechanics,0108_perspective-right_trimmed-marble-run-y.mp4
0124_perspective-left_take-1_trimmed-mug-breaks.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The blue-black grabber tool was holding the yellow ceramic mug. The blue-black grabber tool is suspended over the ceramic block in front of a white projection screen. The blue-black grabber releases the yellow ceramic mug over the concrete brick.,Solid Mechanics,0124_perspective-left_trimmed-mug-breaks.mp4
0125_perspective-center_take-1_trimmed-mug-breaks.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The blue-black grabber tool was holding the yellow ceramic mug. The blue-black grabber tool is suspended over the ceramic block in front of a white projection screen. The blue-black grabber releases the yellow ceramic mug over the concrete brick.,Solid Mechanics,0125_perspective-center_trimmed-mug-breaks.mp4
0126_perspective-right_take-1_trimmed-mug-breaks.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The blue-black grabber tool was holding the yellow ceramic mug. The blue-black grabber tool is suspended over the ceramic block in front of a white projection screen. The blue-black grabber releases the yellow ceramic mug over the concrete brick.,Solid Mechanics,0126_perspective-right_trimmed-mug-breaks.mp4
0145_perspective-left_take-1_trimmed-roll-behind-box.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A small white lampshade is on a light wooden table and a black tube points from the left side to the right side. The grey tennis ball rolls from the left straight out of the black tube over the entire table.,Solid Mechanics,0145_perspective-left_trimmed-roll-behind-box.mp4
0146_perspective-center_take-1_trimmed-roll-behind-box.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A small white lampshade is on a light wooden table and a black tube points from the left side to the right side. The grey tennis ball rolls from the left straight out of the black tube over the entire table.,Solid Mechanics,0146_perspective-center_trimmed-roll-behind-box.mp4
0147_perspective-right_take-1_trimmed-roll-behind-box.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A small white lampshade is on a light wooden table and a black tube points from the left side to the right side. The grey tennis ball rolls from the left straight out of the black tube over the entire table.,Solid Mechanics,0147_perspective-right_trimmed-roll-behind-box.mp4
